State,County,FFRPTH14,PCT_NHWHITE10,PCT_NHBLACK10,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS13,MEDHHINC15,POVRATE15,FMRKTPTH16
CA,Sutter,0.667730863,50.43647149,1.808163653,8.6,28.7,50810,17.5,0.020693009
CA,Tehama,0.539109201,71.85761782,0.549926729,11.2,27.2,40292,22.5,0.047411341
CA,Trinity,0.759301443,83.54852749,0.326418105,10.1,25.1,37669,19.7,0.156470036
CA,Tulare,0.497601474,32.5512971,1.243161706,8,32.6,42637,27.2,0.023890348
CA,Tuolumne,0.538723041,81.86579969,2.012101508,10.1,20.2,53136,14.5,0.074343915
CA,Ventura,0.713797806,48.68932782,1.588936474,7.6,20.3,79285,9.9,0.011768333
CA,Yolo,0.693675033,49.90813995,2.365956515,6.9,22.7,58766,17.5,0.027803264
CA,Yuba,0.392072033,58.78456101,2.940891137,7.6,24.8,46500,21.6,0.039853869
CO,Adams,0.657350047,53.20842476,2.764247525,7.2,26.3,62991,12.8,0.01204367
CO,Alamosa,0.865426222,49.64066041,0.89349304,6.7,23,40067,24,0.060045635
CO,Arapahoe,0.738501117,63.24215083,9.730193723,6.3,21.4,67062,9.2,0.007848456
CO,Archuleta,0.571708592,78.1694803,0.273088381,5.9,16.5,50361,13.1,0.15559359
CO,Baca,0.274348422,87.72439282,0.527983105,7.6,19.4,35405,20.8,0
CO,Bent,0.177619893,58.96291737,7.555008463,7,26.5,36630,36.7,0.341238696
CO,Boulder,0.823405131,79.35070799,0.768925236,4.1,13.4,72392,12.3,0.018620471
CO,Broomfield,1.094338408,79.36803307,0.948308254,5.5,17.6,86548,4.9,0.015031039
CO,Chaffee,0.925774656,86.56858892,1.499241956,6.4,20.5,50947,11.7,0.157414209
CO,Cheyenne,0,88.07189542,0.381263617,6.5,23.7,50620,11.7,0
CO,Clear Creek,1.197344073,92.11047535,0.550176056,7.9,18.1,67262,9.6,0.211954218
CO,Conejos,0.120992136,41.7999031,0.145348837,6,24.5,37102,20.2,0
CO,Costilla,0,30.81725312,0.170261067,8.3,21.9,27944,28.2,0.268744961
CO,Crowley,0,57.85677486,9.5311695,6,21.6,35405,44.3,0
CO,Custer,0.229305205,91.98589894,0.963572268,6.8,20.5,43995,15.1,0.217296827
CO,Delta,0.535654503,82.98332903,0.442620832,7.6,20.4,42586,15.8,0.032849353
CO,Denver,0.876688227,52.15493253,9.728771424,6,16.4,57886,15.7,0.020200271
CO,Dolores,0,90.93992248,0.145348837,7.5,19.8,44829,14.9,0
CO,Douglas,0.648364152,85.2283117,1.136741807,5.3,17,109926,3.4,0.015214587
CO,Eagle,0.869220158,67.25482307,0.465543997,3.3,11.8,75191,7.6,0.092611458
CO,Elbert,0.289315974,90.98587889,0.6887291,5.2,19.6,90270,5.9,0.039633784
CO,El Paso,0.679709247,71.98676444,5.751908759,7,22.3,60050,11,0.026151995
CO,Fremont,0.322566771,80.40107637,3.854860755,8.1,22.8,41967,17.2,0.084306369
CO,Garfield,0.800542977,68.77937186,0.418521343,4.7,20,64487,10.3,0.084908384
CO,Gilpin,0,90.92078662,0.514611285,6.3,19.7,67389,8,0
CO,Grand,1.099958752,89.69211076,0.343596308,5.6,17.4,59885,8.3,0.19989339
CO,Gunnison,0.890302067,89.12816497,0.293657009,4.6,14.8,47619,12.5,0.12189176
