title,year,metascore,domestic_gross
The Grudge,(2004),49,"110,359,362"
Fun with Dick and Jane,(2005),47,"110,332,737"
Freaky Friday,(2003),70,"110,230,332"
Trainwreck,(2015),75,"110,212,700"
Bedtime Stories,(2008),33,"110,101,975"
Scary Movie 3,(2003),49,"110,003,217"
Creed,(2015),82,"109,767,581"
The 40-Year-Old Virgin,(2005),73,"109,449,237"
Couples Retreat,(2009),23,"109,205,660"
Black Hawk Down,(2001),74,"108,638,745"
The Upside,(2017),46,"108,252,517"
The Princess Diaries,(2001),52,"108,248,956"
Hop,(2011),41,"108,085,305"
Paranormal Activity,(2007),68,"107,918,810"
Baby Driver,(2017),86,"107,825,862"
Epic,(2013),52,"107,518,682"
Watchmen,(2009),56,"107,509,799"
The Angry Birds Movie,(2016),43,"107,509,366"
Captain Phillips,(2013),83,"107,100,855"
Black Swan,(2010),79,"106,954,678"
Chicken Run,(2000),88,"106,834,564"
Miss Congeniality,(2000),43,"106,807,667"
300: Rise of an Empire,(2014),48,"106,580,051"
The Italian Job,(2003),68,"106,128,601"
How to Lose a Guy in 10 Days,(2003),45,"105,813,373"
The Lego Movie 2: The Second Part,(2019),65,"105,806,508"
Robin Hood,(2010),53,"105,269,730"
Pitch Perfect 3,(2017),40,"104,897,530"
American Wedding,(2003),43,"104,565,114"
Road to Perdition,(2002),72,"104,454,762"
The Princess and the Frog,(2009),73,"104,400,899"
The Chronicles of Narnia: The Voyage of the Dawn Treader,(2010),53,"104,386,950"
Daddy Day Care,(2003),39,"104,297,061"
Daddy's Home Two,(2017),30,"104,029,443"
Paranormal Activity 3,(2011),59,"104,007,828"
Journey 2: The Mysterious Island,(2012),41,"103,860,290"
The Mule,(2018),58,"103,804,407"
Rise of the Guardians,(2012),57,"103,412,758"
Dreamgirls,(2006),76,"103,365,956"
Independence Day: Resurgence,(2016),32,"103,144,286"
The Expendables,(2010),45,"103,068,524"
Just Go with It,(2011),33,"103,028,109"
Murder on the Orient Express,(2017),52,"102,826,543"
The Aviator,(2004),77,"102,608,827"
Daredevil,(2003),42,"102,543,520"
The Girl with the Dragon Tattoo,(2011),71,"102,515,793"
The Mummy: Tomb of the Dragon Emperor,(2008),31,"102,491,776"
The Conjuring 2,(2016),65,"102,470,008"
The Maze Runner,(2014),57,"102,427,862"
Annabelle: Creation,(2017),62,"102,092,201"
The Equalizer 2,(2018),50,"102,084,362"
Bad Grandpa,(2013),54,"102,003,019"
Pacific Rim,(2013),65,"101,802,906"
Journey to the Center of the Earth,(2008),57,"101,704,370"
Gone in 60 Seconds,(2000),35,"101,648,571"
The Equalizer,(2014),57,"101,530,738"
This Is the End,(2013),67,"101,470,202"
Noah,(2014),68,"101,200,044"
The Cat in the Hat,(2003),19,"101,149,285"
Eagle Eye,(2008),43,"101,111,837"
Collateral,(2004),71,"101,005,703"
Charlie's Angels: Full Throttle,(2003),48,"100,830,111"
Vanilla Sky,(2001),45,"100,614,858"
Arrival,(II) (2016),81,"100,546,139"
Due Date,(2010),51,"100,539,043"
Million Dollar Baby,(2004),86,"100,492,203"
A Wrinkle in Time,(2018),53,"100,478,608"
Step Brothers,(2008),51,"100,468,793"
Evan Almighty,(2007),37,"100,462,298"
Fifty Shades Freed,(2018),31,"100,407,760"
Bad Teacher,(2011),47,"100,292,856"
Yogi Bear,(2010),35,"100,246,011"
Cowboys & Aliens,(2011),50,"100,240,551"
Kingsman: The Golden Circle,(2017),44,"100,234,838"
Edge of Tomorrow,(2014),71,"100,206,256"
You Don't Mess with the Zohan,(2008),54,"100,018,837"
Passengers,(I) (2016),41,"100,014,699"
Gnomeo & Juliet,(2011),53,"99,967,670"
Rampage,(2018),45,"99,345,950"
Christopher Robin,(2018),60,"99,215,042"
Olympus Has Fallen,(2013),41,"98,925,640"
The Green Hornet,(2011),39,"98,780,042"
Date Night,(2010),56,"98,711,404"
Meet the Robinsons,(2007),61,"97,822,171"
Yes Man,(2008),46,"97,690,976"
Sausage Party,(2016),66,"97,661,826"
Public Enemies,(2009),70,"97,104,620"
The Social Network,(2010),95,"96,962,694"
The Others,(2001),74,"96,522,687"
Legally Blonde,(2001),59,"96,520,674"
Panic Room,(2002),65,"96,397,334"
Zero Dark Thirty,(2012),95,"95,720,716"
Norbit,(2007),27,"95,673,607"
Cold Mountain,(2003),73,"95,636,509"
Sex and the City 2,(2010),27,"95,347,692"
The Princess Diaries 2: Royal Engagement,(2004),43,"95,170,481"
Unbreakable,(2000),62,"95,011,339"
42,(2013),62,"95,001,343"
The Book of Eli,(2010),53,"94,835,059"
"10,000 BC",(2008),34,"94,784,201"
Beverly Hills Chihuahua,(2008),41,"94,514,402"
Julie & Julia,(2009),66,"94,125,426"
Maid in Manhattan,(2002),45,"94,011,225"
He's Just Not That Into You,(2009),47,"93,953,653"
Master and Commander: The Far Side of the World,(2003),81,"93,927,920"
Flight,(I) (2012),76,"93,772,375"
The Fighter,(I) (2010),79,"93,617,009"
America's Sweethearts,(2001),44,"93,607,673"
The Bucket List,(2007),42,"93,466,502"
Tomorrowland,(2015),60,"93,436,322"
The Magnificent Seven,(2016),54,"93,432,655"
Cats & Dogs,(2001),47,"93,385,515"
Two Weeks Notice,(2002),42,"93,354,851"
Red Dragon,(2002),60,"93,149,898"
Elysium,(I) (2013),61,"93,050,117"
The Town,(2010),74,"92,186,262"
Non-Stop,(2014),56,"92,168,600"
Blade Runner 2049,(2017),81,"92,054,159"
John Wick: Chapter 2,(2017),75,"92,029,184"
Think Like a Man,(2012),51,"91,547,205"
Heaven Is for Real,(2014),47,"91,443,253"
The Imitation Game,(2014),73,"91,125,683"
Save the Last Dance,(2001),53,"91,057,006"
The Scorpion King,(2002),45,"91,047,077"
Ride Along 2,(2016),32,"90,835,030"
